ax,ay,az,gx,gy,gz,target,target_name
4.49,-5.38,13.81,2.26,-0.4,-4.1,0.0,target_0
-11.51,-7.76,8.09,1.68,-0.41,-4.17,0.0,target_0
-16.78,-6.82,2.55,-0.35,0.16,1.16,0.0,target_0
-3.91,-13.42,11.16,-3.58,-0.89,5.66,0.0,target_0
8.6,-7.92,16.21,-1.73,-0.3,5.17,0.0,target_0
17.58,-6.08,14.03,-0.17,0.17,0.25,0.0,target_0
7.49,-9.8,13.81,1.39,0.2,-5.28,0.0,target_0
-13.22,-10.37,9.66,0.65,-0.45,-4.1,0.0,target_0
-17.56,-7.09,3.26,-0.05,0.22,0.43,0.0,target_0
-10.55,-12.28,8.44,-1.6,0.14,5.03,0.0,target_0
4.46,-9.72,14.01,-1.38,0.02,5.49,0.0,target_0
19.09,-3.87,15.04,0.31,-0.11,1.09,0.0,target_0
11.6,-7.49,14.43,0.8,0.58,-4.11,0.0,target_0
-2.76,-9.18,13.13,1.1,-0.88,-5.3,0.0,target_0
-15.29,-10.12,7.57,0.96,0.8,-3.05,0.0,target_0
-15.89,-8.78,3.83,-0.62,0.03,1.55,0.0,target_0
-4.88,-14.19,10.55,-2.17,-0.25,6.15,0.0,target_0
13.65,-9.17,16.51,-1.57,-0.14,5.32,0.0,target_0
20.29,-1.29,13.55,0.33,0.17,0.14,0.0,target_0
4.27,-9.09,14.42,1.33,0.07,-4.65,0.0,target_0
-3.27,-10.59,13.7,1.7,-0.0,-5.01,0.0,target_0
-10.81,-8.66,7.17,1.21,-0.35,-3.9,0.0,target_0
-15.07,-6.16,4.91,0.18,0.11,-0.85,0.0,target_0
-14.01,-7.29,4.58,-0.79,0.15,2.18,0.0,target_0
-9.41,-7.99,9.05,-1.3,-0.11,4.04,0.0,target_0
-4.09,-12.12,11.4,-1.82,0.15,5.85,0.0,target_0
5.49,-8.56,15.29,-1.54,0.2,5.4,0.0,target_0
9.74,-6.81,17.15,-1.42,-0.19,4.43,0.0,target_0
15.5,-6.37,14.35,-0.51,-0.71,3.75,0.0,target_0
18.28,-1.14,14.2,0.19,-0.09,0.45,0.0,target_0
12.43,-2.52,12.83,0.44,0.36,-1.67,0.0,target_0
8.29,-4.76,13.87,0.7,0.95,-3.66,0.0,target_0
1.85,2.24,-1.72,-1.68,-0.39,-0.36,1.0,target_1
-0.76,0.39,-2.73,-2.21,-0.59,-0.44,1.0,target_1
1.08,3.32,-2.31,-1.75,-0.44,-0.01,1.0,target_1
0.44,5.78,-2.34,0.11,-0.06,0.13,1.0,target_1
0.24,1.54,1.44,2.39,0.34,0.39,1.0,target_1
-0.83,-8.27,9.89,3.9,1.0,0.88,1.0,target_1
-1.62,-12.26,19.44,2.95,1.26,0.6,1.0,target_1
-0.37,-11.82,25.53,0.32,-0.02,-0.28,1.0,target_1
-2.76,-11.8,23.82,-2.41,-0.61,-0.6,1.0,target_1
-0.32,-10.22,17.43,-4.36,-0.11,-0.39,1.0,target_1
1.22,-7.87,13.99,-4.73,0.43,-0.7,1.0,target_1
1.46,-2.39,5.55,-4.29,-0.19,-0.93,1.0,target_1
0.51,3.06,-1.35,-1.52,-0.52,-0.48,1.0,target_1
0.39,6.53,-3.97,0.2,-0.23,0.31,1.0,target_1
1.01,5.43,-2.79,0.55,-0.06,0.44,1.0,target_1
1.08,2.16,-1.31,1.74,0.05,0.4,1.0,target_1
-0.72,0.6,0.37,1.73,1.55,0.2,1.0,target_1
0.03,-0.73,2.81,3.12,0.83,1.28,1.0,target_1
-3.22,-11.58,13.67,3.82,1.27,1.59,1.0,target_1
-5.56,-11.97,18.74,3.18,1.09,1.41,1.0,target_1
